Zip,Ends14,Zip,Starts14,Zip,Ends13,Zip,Starts13
2032,10,1938,7,1904,34,2030,6
2035,42,2188,7,2081,33,1960,5
2038,14,2035,7,1776,33,1730,5
2045,24,2038,6,2030,32,1852,5
2048,23,2025,6,1581,31,1950,5
2050,10,2322,6,1773,30,1905,5
2052,15,2360,5,1908,30,1876,5
2053,1,2364,5,2038,29,1901,4
2056,19,2093,5,1720,29,2066,4
2061,20,1719,5,2351,26,1923,4
2062,208,2066,5,1886,25,1845,4
2066,34,1852,5,1845,25,2341,4
2067,69,1460,5,2025,24,2766,4
2071,3,1720,5,2056,23,2191,4
2072,54,1905,5,1864,23,2370,4
2081,37,2760,4,2302,21,2324,4
2090,122,2703,4,1901,20,1757,4
2093,5,1778,4,2048,20,1609,3
2108,16777,1930,4,1852,20,1862,3
2109,13277,1876,4,2061,16,1776,3
2110,14544,2359,4,2339,16,1778,3
2111,12238,1854,4,1772,15,2056,3
2113,9846,1604,4,1748,15,1908,3
2114,25313,1742,4,1757,14,2762,3
2115,26568,1983,4,1824,14,1742,3
2116,57368,1566,3,1545,14,1930,3
2118,20419,1830,3,2703,14,2035,3
2119,5790,2190,3,1721,14,2025,3
2120,10238,1904,3,1844,14,1832,3
2121,2765,2780,3,1944,13,2067,3
2122,5003,1609,3,2382,12,1824,3
2124,7797,2189,3,2045,12,2325,2
2125,11821,1950,3,1983,12,1002,2
2126,3215,1545,3,1731,11,2382,2
2127,43470,2061,3,2356,11,2053,2
2128,9066,1603,3,2332,10,1863,2
2129,13811,1843,3,2052,10,2360,2
2130,10953,1731,3,2767,10,1851,2
2131,4793,1773,3,1950,10,2302,2
2132,2377,1944,3,1862,9,1719,2
2134,22122,1532,3,1741,9,2359,2
2135,29207,2050,2,1605,9,1773,2
2136,1917,1850,2,2050,8,1770,2
2138,11397,2721,2,2032,8,2052,2
2139,18525,1453,2,1843,8,1843,2
2140,3396,1901,2,1754,8,1922,2
2141,7662,1602,2,1984,8,2322,2
2142,4746,1721,2,1770,8,1854,1
2143,6732,1840,2,1982,7,2346,1
2144,6353,1864,2,2324,7,1720,1
2145,5026,1949,2,2364,7,1754,1
2148,2741,2332,2,2375,7,1746,1
2149,1551,2056,2,2322,7,2571,1
2150,2105,1432,2,2359,6,2790,1
2151,2224,2324,2,1949,6,1602,1
2152,934,2081,2,2341,6,1984,1
2153,158,2339,2,1930,6,1921,1
2155,6410,2045,2,1851,6,1841,1
2163,2128,2747,2,1832,6,1527,1
2169,2579,1834,2,1854,5,1864,1
2170,1292,1913,2,1840,5,2668,1
2171,1864,2019,1,1921,5,2093,1
2176,804,1835,1,1604,5,1103,1
2180,317,2766,1,1719,5,1944,1
2184,853,1108,1,1969,5,2045,1
2186,1511,1571,1,1609,4,2338,1
2188,74,2767,1,1746,4,1951,1
2189,73,2347,1,2360,4,1929,1
2190,92,1740,1,1938,4,1089,1
2191,53,1851,1,1432,4,2339,1
2199,7375,1908,1,1879,3,1450,1
2210,14043,2032,1,2357,3,2347,1
2215,27064,1754,1,2766,3,1830,1
2301,84,1536,1,1841,3,1741,1
2302,11,1824,1,1833,3,1603,1
2322,8,2769,1,1929,3,1966,1
2324,3,1952,1,2762,3,1536,1
2325,1,1507,1,1922,3,1608,1
2332,6,1519,1,1460,3,1460,1
2333,1,1862,1,1532,3,2050,1
2338,2,2351,1,1536,2,1938,1
2339,14,1608,1,2760,2,2601,1
2343,28,2746,1,1450,2,2061,1
2346,1,1879,1,1835,2,1432,1
2347,1,1550,1,1603,2,2081,1
2351,33,2762,1,2093,2,1003,1
2356,8,2648,1,2347,2,2632,1
2359,9,1770,1,1610,2,2189,1
2360,13,1929,1,2721,2,1604,1
2364,10,2052,1,1863,2,1904,1
2368,211,2356,1,1608,2,1463,1
2370,38,1529,1,2325,2,1451,1
2375,6,1922,1,2790,2,,
2379,1,1982,1,1951,2,,
2382,5,1560,1,1002,2,,
2420,136,1749,1,2771,1,,
2421,265,1951,1,1913,1,,
2445,6792,1040,1,1003,1,,
2446,17209,2370,1,1826,1,,
2451,656,,,2571,1,,
2452,350,,,2333,1,,
2453,801,,,2601,1,,
2458,1788,,,1718,1,,
2459,1037,,,2338,1,,
2460,522,,,1527,1,,
2461,325,,,1966,1,,
2462,208,,,1850,1,,
2464,149,,,2718,1,,
2465,520,,,1602,1,,
2466,522,,,1089,1,,
2467,2343,,,1503,1,,
2468,302,,,1747,1,,
2472,2838,,,1775,1,,
2474,1285,,,2632,1,,
2476,556,,,1103,1,,
2478,1335,,,2747,1,,
2481,399,,,1830,1,,
2482,420,,,2562,1,,
2492,370,,,2346,1,,
2493,226,,,1451,1,,
2494,373,,,1463,1,,
2532,2,,,2780,1,,
2562,1,,,2367,1,,
2563,1,,,1020,1,,
2601,1,,,2763,1,,
2648,2,,,1453,1,,
2703,8,,,2019,1,,
2718,1,,,1501,1,,
2721,2,,,2053,1,,
2723,1,,,,,,
2746,1,,,,,,
2747,2,,,,,,
2760,7,,,,,,
2762,1,,,,,,
2766,6,,,,,,
2767,5,,,,,,
2769,1,,,,,,
2777,1,,,,,,
2780,4,,,,,,
