Zip,Ends14,Starts14,Ends13,Starts13
02131,4793,914,4058,862
02132,2377,350,1958,296
02134,22122,21211,26581,27796
02135,29207,9464,32995,11446
02136,1917,442,1741,410
02138,11397,2179,14472,3475
02139,18525,4903,23343,7460
02140,3396,525,3844,679
02141,7662,1297,9373,2251
02142,4746,986,5476,1429
02143,6732,1045,8244,1336
02144,6353,798,7474,1140
02145,5026,517,5395,565
02148,2741,242,2806,212
02149,1551,193,1942,258
02150,2105,183,1734,130
02151,2224,186,2254,149
02152,934,48,867,47
02153,158,18,193,18
02155,6410,578,6793,523
02163,2128,842,3139,1317
02169,2579,234,2653,218
02170,1292,86,1268,106
02171,1864,192,1980,222
02176,804,47,850,47
02180,317,26,260,23
02184,853,95,845,76
02186,1511,174,1525,158
02188,74,7,108,10
02189,73,3,63,1
02190,92,3,81,11
02191,53,9,48,4
02199,7375,18530,8072,19897
02210,14043,27419,15602,31149
02215,27064,57473,33173,63034
02301,84,18,63,7
02302,11,0,21,2
02322,8,6,7,2
02324,3,2,7,4
02325,1,0,2,2
02332,6,2,10,6
02333,1,0,1,0
02338,2,0,1,1
02339,14,2,16,1
02343,28,8,37,6
02346,1,0,1,1
02347,1,1,2,1
02351,33,1,26,0
02356,8,1,11,0
02359,9,4,6,2
02360,13,5,4,2
02364,10,5,7,7
02368,211,39,190,36
02370,38,1,41,4
02375,6,0,7,0
02379,1,0,0,0
02382,5,0,12,2
02420,136,14,140,10
02421,265,28,222,20
02445,6792,1201,8173,1362
02446,17209,4944,21021,7213
02451,656,61,623,62
02452,350,43,352,28
02453,801,95,883,93
02458,1788,190,1873,199
02459,1037,101,992,119
02460,522,58,534,32
02461,325,20,387,32
02462,208,21,183,11
02464,149,11,131,15
02465,520,51,543,43
02466,522,54,531,43
02467,2343,326,2341,333
02468,302,20,284,13
02472,2838,315,2970,364
02474,1285,84,1354,89
02476,556,37,522,24
02478,1335,99,1303,93
02481,399,37,329,31
02482,420,37,476,39
02492,370,29,350,37
02493,226,21,197,14
02494,373,37,274,21
02532,2,0,0,0
02562,1,0,1,0
02563,1,0,0,0
02601,1,0,1,1
02648,2,1,0,0
02703,8,4,14,8
02718,1,0,1,0
02721,2,2,2,0
02723,1,0,0,0
02746,1,1,0,0
02747,2,2,1,0
02760,7,4,2,0
02762,1,1,3,3
02766,6,1,3,4
02767,5,1,10,6
02769,1,1,0,0
02777,1,0,0,0
02780,4,3,1,0
02341,0,0,6,4
01832,0,0,6,3
02357,0,0,3,0
01610,0,0,2,0
02790,0,0,2,1
01002,0,0,2,2
02771,0,0,1,0
01003,0,0,1,1
02571,0,0,1,1
01527,0,0,1,1
01089,0,0,1,1
01747,0,0,1,0
01775,0,0,1,0
02632,0,0,1,1
02367,0,0,1,0
01020,0,0,1,0
02763,0,0,1,0
01501,0,0,1,0
02668,0,0,0,1
01040,0,1,0,0
